chapter_id,hard_label,certainty
108,1,0.9999999999999858
109,2,0.9999999999997016
110,2,0.999412776726787
111,1,0.9991952372987389
112,2,0.9999999999999716
113,1,0.9999999999991616
114,2,0.9999999882101065
115,2,0.9999999999999716
116,2,0.9999999986443981
117,2,0.9999999978650607
118,1,0.8874088446727937
119,1,0.99999999672211
120,2,1.0
121,2,0.9999013657555226
122,2,0.9999999991860022
123,1,1.0
124,1,1.0
125,1,0.9999999970546156
126,2,0.9998350172382507
127,1,0.9999952133282499
128,2,0.9112347194687479
129,2,0.9999999992526085
130,2,0.9999805988036428
131,1,0.9999999997997975
132,2,1.0
133,2,1.0
134,2,0.9752538193575324
135,2,0.9999999999869829
136,2,0.9999999873592316
137,1,0.9999999999986073
138,2,1.0
139,2,1.0
140,2,1.0
141,2,1.0
142,2,1.0
143,2,1.0
144,2,0.9999999999999716
145,2,1.0
146,2,1.0
147,2,1.0
148,2,1.0
149,2,1.0
150,2,1.0
151,1,0.9937194556327177
152,2,0.999999999373884
153,1,0.9999999999997016
154,1,0.999999941115691
155,2,1.0
156,2,0.9999986593397557
157,1,0.9999999999973994
158,1,0.9999999985819699
159,2,0.9999999999957652
160,2,0.9999999999691909
161,2,1.0
162,2,1.0
163,1,0.9989852516262923
164,1,0.9911041700899671
165,2,0.9691498525322473
166,1,0.9923725875677069
167,2,0.8859922324827681
168,2,0.9999999999999858
169,2,1.0
170,2,0.9999999999995737
171,1,0.9999999810287508
172,2,1.0
173,1,0.999993990476194
174,2,0.9937099567379835
175,2,0.9999999999998579
176,2,0.9999999986116421
177,2,0.9999999999999716
178,2,1.0
179,2,1.0
180,1,0.999999999995012
181,2,1.0
182,1,0.9999999999798206
183,1,0.9452204490461
184,1,0.9999999993057003
185,1,1.0
186,1,0.999804834838236
187,1,0.9684452437723545
188,1,1.0
189,2,1.0
190,1,1.0
191,2,0.9999999999990763
192,2,1.0
193,2,1.0
194,1,0.9993575735786262
195,2,1.0
196,1,1.0
197,1,0.9999999998694022
198,2,1.0
199,2,0.9999999969085849
200,1,0.9999999999891713
201,1,0.999999994367414
202,2,0.9999994114574831
203,2,0.9931717851432258
204,1,0.9999999999996732
205,1,0.999999696328519
206,1,0.9999999980046397
207,2,0.9999999874017647
208,2,1.0
209,2,0.9999994911799506
210,1,0.9999979407180206
211,2,0.9860247220424295
212,2,0.9999999999996589
213,2,0.9999999988842632
214,1,0.9999999970030871
215,1,0.9999336492278191
216,1,0.9999999999998721
217,2,0.9998805689379971
218,2,1.0
219,2,1.0
220,1,0.9424297366663036
221,2,0.999999998685908
222,2,0.9971601435344523
223,1,0.9999999999949267
224,1,0.9999999999822506
225,2,0.9999686134642242
226,1,0.9999999999943725
227,1,0.9999999999996447
228,1,0.9999999999985931
229,1,1.0
230,1,1.0
231,1,0.9999995151895188
232,2,0.9999999999025277
233,2,0.9999999988073967
234,2,1.0
235,1,0.9999999898510907
236,1,0.9999797962625954
237,1,0.8331553989055805
238,1,0.9998001703611334
239,1,1.0
240,1,1.0
241,2,0.9999999999984794
242,1,1.0
243,1,1.0
244,2,1.0
245,1,0.9999998392723897
246,1,0.9999999585958941
247,2,1.0
248,2,0.9999992455337297
249,1,0.8818262027513691
250,2,0.9999999868780947
251,2,0.9999999999003819
252,2,0.9999999999999574
253,2,0.9999999988066577
254,2,0.999888873019973
255,2,0.9999998010744149
256,1,0.9997234376215193
257,1,0.9999999999316742
258,2,0.9999999999999147
259,1,0.9997813821608978
260,2,0.9990359679191113
261,2,0.9999999999985505
262,1,0.9999999932326915
263,2,0.9999999907345369
264,2,1.0
265,2,1.0
266,2,0.9166560253307774
267,1,0.9999685493131694
268,1,0.831994890033898
269,2,0.9999999999999716
270,2,0.9999999998824052
271,1,0.9546696855060867
272,1,0.9999999960217423
273,1,0.9984197875257966
274,1,0.9848983204704046
275,1,0.9999999880291881
276,2,0.9999999982284891
277,2,0.9893888371463725
278,1,0.9999976952855703
279,2,0.9999999999993889
280,2,1.0
281,1,0.9999906637019921
282,1,1.0
283,2,1.0
284,2,0.9981048403458683
285,2,0.9999999994855955
286,2,1.0
287,1,0.9999999999999716
288,1,0.9999999999999574
289,1,0.9643322330641326
290,1,0.9999999999998295
291,1,0.9999999999999005
292,1,0.9999999999999858
293,1,0.9999999999996021
294,2,1.0
295,1,0.8953209970645649
296,2,0.9999999953762284
297,2,0.9999999999996447
298,1,0.9999999873548546
299,2,1.0
300,2,1.0
301,1,0.9999998927722005
302,1,0.9981256924495803
303,2,0.9999979751779229
304,1,0.6825204053119548
305,2,0.9999996197445297
306,1,0.9999984027326116
307,1,0.9742421574038894
308,1,0.9991837103566733
309,2,1.0
310,2,1.0
311,2,0.9999999999993463
312,2,1.0
313,2,0.9999999999978684
314,2,0.999999999997641
315,1,0.9998422892373613
316,1,0.9972684785152672
317,3,0.9989557025397355
318,3,0.9999999956004615
319,3,0.9874243873681636
320,2,0.999999999970413
321,3,0.999999999997442
322,2,0.9999972475468376
323,3,0.9999998352956958
324,3,0.9999999069993678
325,2,0.8412552232475307
326,3,0.9999999999962057
327,3,1.0
328,3,0.9999999999999858
329,3,1.0
330,2,1.0
331,2,1.0
332,2,0.9999999999999858
333,2,0.9999998147417161
334,2,0.9999994677862243
335,2,0.9999971691105567
336,2,1.0
337,2,0.9999999972803835
338,2,1.0
339,2,1.0
340,3,1.0
341,3,1.0
342,3,1.0
343,3,1.0
344,3,1.0
345,2,0.9932688637418828
346,3,0.9999999997788649
347,3,1.0
348,3,1.0
349,2,1.0
350,3,1.0
351,3,1.0
352,3,1.0
353,3,1.0
354,3,1.0
355,3,1.0
356,3,1.0
357,3,0.9999999999961915
358,3,1.0
359,3,1.0
360,3,1.0
361,3,1.0
362,3,1.0
363,3,1.0
364,3,1.0
365,3,1.0
366,3,1.0
367,3,1.0
368,3,1.0
369,3,1.0
370,3,1.0
371,3,0.9999999856865429
372,3,0.9999999999999716
373,3,1.0
374,3,1.0
375,3,1.0
376,3,1.0
377,3,0.999999999997641
378,3,0.9999999999630944
379,3,0.7332252917538209
380,2,0.9870411958846037
381,3,1.0
382,3,1.0
383,2,0.999544540531093
384,3,0.9999999997748432
385,3,0.9999913588293939
386,3,0.9999095522144008
387,3,1.0
388,3,1.0
389,3,1.0
390,3,0.9999200672314095
391,3,1.0
392,3,1.0
393,3,1.0
394,3,1.0
395,3,1.0
396,3,0.9999991744426918
397,3,0.9943891608433486
398,3,1.0
399,3,1.0
400,3,1.0
401,3,1.0
402,3,0.9913002741479747
403,3,1.0
404,3,1.0
405,3,1.0
406,3,0.9998858287118981
407,3,1.0
408,3,0.9999999995904716
409,3,0.9999999999993463
410,2,1.0
411,2,1.0
412,3,0.9999999997223767
413,2,0.9999857104379746
414,2,0.9869018527225664
415,3,1.0
416,3,1.0
417,3,0.9999992013516482
418,3,1.0
419,3,1.0
420,3,0.9999999996764188
421,2,0.9997433477677073
422,3,1.0
423,3,1.0
424,3,1.0
425,3,1.0
426,3,1.0
427,3,0.9985654300682032
428,3,1.0
429,3,1.0
430,3,1.0
431,3,0.9999999999999574
432,3,1.0
433,3,1.0
434,3,1.0
435,3,1.0
436,3,1.0
437,3,1.0
438,3,0.9999999999451035
439,3,1.0
440,3,0.9999992050497928
441,3,1.0
442,3,1.0
443,3,1.0
444,3,1.0
445,3,1.0
446,3,1.0
447,3,1.0
448,3,0.9999999999994884
449,3,1.0
450,3,1.0
451,3,0.9999999999980673
452,3,1.0
453,3,1.0
454,3,1.0
455,3,1.0
456,3,1.0
457,3,0.9999999999977405
458,3,1.0
459,3,1.0
460,3,0.9999999991454445
461,3,0.9999999999999858
462,3,1.0
463,3,1.0
464,3,0.9999999999993179
465,3,1.0
466,3,1.0
467,3,1.0
468,3,1.0
469,3,0.9999999999946141
470,3,1.0
471,3,1.0
472,3,1.0
473,3,1.0
474,3,1.0
475,3,0.9999999999970726
476,3,1.0
477,3,1.0
478,3,1.0
479,3,1.0
480,3,0.9999987745936044
481,3,1.0
482,3,1.0
483,3,1.0
484,3,1.0
485,3,1.0
486,3,1.0
487,3,1.0
488,3,1.0
489,3,0.9999999999999574
490,3,1.0
491,3,1.0
492,3,1.0
493,3,0.9999663262204064
494,3,1.0
495,3,1.0
496,3,0.9999953730023246
497,3,0.9999999972082065
498,2,1.0
499,3,0.9992934395702134
500,3,1.0
501,3,0.9999999999848512
502,2,0.9999921098416195
503,3,1.0
504,3,1.0
505,3,0.9948257955977124
506,3,1.0
507,3,1.0
508,3,0.9999999999996163
509,3,0.9999999999979821
510,3,0.9999999999999858
511,3,1.0
512,3,0.9999992910243476
513,3,1.0
514,3,0.9999999999968736
515,3,1.0
516,3,1.0
517,3,0.9999978375383951
518,3,0.999021479996224
519,3,0.9969217458651546
520,3,0.9999999994798969
521,3,1.0
522,3,1.0
523,3,0.9999999743156852
524,3,1.0
525,3,1.0
526,3,0.9999999430666565
527,3,1.0
528,3,1.0
529,3,1.0
530,3,1.0
531,3,1.0
532,3,1.0
533,3,0.999999999999261
534,3,0.9999890183410423
535,3,0.9999997383004797
536,3,0.9999999273145788
537,3,1.0
538,3,1.0
539,3,0.5656909823586849
540,3,0.9999999999964331
541,3,1.0
542,3,1.0
543,3,1.0
544,3,1.0
545,3,0.9999999999999858
546,3,1.0
547,3,1.0
548,3,1.0
549,3,0.9999903323782953
550,3,1.0
551,3,1.0
552,3,1.0
553,3,1.0
554,3,0.9999999999998153
555,3,1.0
556,3,1.0
557,3,1.0
558,3,1.0
559,3,1.0
560,3,1.0
561,3,1.0
562,3,1.0
563,3,0.999999999842629
564,3,0.9999996879526724
565,3,0.9999999995947633
566,3,1.0
567,3,1.0
568,3,1.0
569,3,1.0
570,3,1.0
571,3,1.0
572,3,1.0
573,3,1.0
574,3,1.0
575,3,0.9999999999999716
576,3,1.0
577,3,1.0
578,3,1.0
579,3,1.0
580,3,1.0
581,3,1.0
582,3,1.0
583,3,1.0
584,3,1.0
585,3,1.0
586,3,1.0
587,3,1.0
588,3,1.0
589,3,0.9999999989387476
590,3,1.0
591,3,1.0
592,3,0.9999999999998721
593,3,1.0
594,3,1.0
595,3,1.0
596,3,1.0
597,3,1.0
598,3,1.0
599,3,1.0
600,3,0.9999999999999858
601,3,1.0
602,3,0.999999999966505
603,3,1.0
604,3,1.0
605,3,1.0
606,3,1.0
607,3,1.0
608,3,1.0
609,3,1.0
610,3,1.0
611,3,0.9999999999999574
612,3,1.0
613,0,1.0
614,0,0.9999995926240336
615,0,1.0
616,0,1.0
617,0,1.0
618,0,1.0
619,0,0.9909440328037018
620,0,1.0
621,0,1.0
622,0,1.0
623,0,1.0
624,0,1.0
625,0,0.9999997369773359
626,0,1.0
627,0,1.0
628,0,0.9999999955089436
629,0,1.0
630,0,1.0
631,0,1.0
632,0,1.0
633,0,0.9999999622454687
634,0,1.0
635,0,1.0
636,0,0.9999999999997868
637,0,1.0
638,3,0.9990316432732617
639,0,0.9999996504878126
640,0,1.0
641,0,1.0
642,0,1.0
643,0,1.0
644,0,1.0
645,0,1.0
646,0,1.0
647,0,1.0
648,0,1.0
649,0,1.0
650,0,1.0
651,0,1.0
652,0,1.0
653,0,1.0
654,0,0.9999999999998437
655,0,1.0
656,0,0.9999999999884324
657,0,1.0
658,0,0.9999999999999432
659,0,1.0
660,0,1.0
661,0,1.0
662,0,1.0
663,0,1.0
664,0,1.0
665,0,1.0
666,0,1.0
667,0,1.0
668,0,1.0
669,0,1.0
670,0,1.0
671,0,1.0
672,0,1.0
673,0,1.0
674,0,1.0
675,0,1.0
676,0,1.0
677,0,0.9999999999999858
678,0,1.0
679,0,0.9999999999827907
680,0,1.0
681,0,1.0
682,0,0.9999999999288605
683,0,1.0
684,0,0.9999999999992468
685,0,0.9999999999999716
686,0,0.999999999999929
687,0,1.0
688,0,0.9999999976578522
689,0,0.999999996821785
690,0,0.9999999988015986
691,0,0.9999985115726694
692,0,0.9999999996504698
693,0,1.0
694,0,1.0
695,0,0.9999999999667466
696,0,0.9999999999999716
697,0,0.9999999938842308
698,0,1.0
699,0,0.9999999999979252
700,0,0.999998104877866
701,0,0.9999999977153209
702,0,1.0
703,0,1.0
704,0,0.9999999770939925
705,0,1.0
706,0,1.0
707,0,1.0
708,0,1.0
709,0,0.9999999958939583
710,0,1.0
711,0,0.9999999993447943
712,0,0.9999999999999858
713,0,0.9999999997571081
714,0,0.999999999999801
715,0,1.0
716,0,0.999999999999531
717,0,0.9999999999979394
718,0,1.0
719,0,0.999999999999801
720,0,0.9999999985080024
721,0,0.9999880292077272
722,0,1.0
723,0,1.0
724,0,1.0
725,0,0.9999999999999858
726,0,1.0
727,0,0.9999999999992326
728,0,0.9999999999948272
729,0,0.9981616655607584
730,0,1.0
731,0,1.0
732,0,0.9999999999917151
733,0,0.9999999999952678
734,0,1.0
735,0,0.8369041471071512
736,0,0.9999999999989768
737,0,0.9999999999999716
738,0,1.0
739,0,1.0
740,0,0.9999976339335315
741,2,0.999993307600375
742,0,1.0
743,0,1.0
744,0,0.9999999999707825
745,0,1.0
746,0,0.9999999999992752
747,0,1.0
748,0,0.9999999999902371
749,0,0.9999998052428983
750,0,0.9999999642089967
751,0,1.0
752,0,0.9999999999866702
753,0,0.9999999999993889
754,0,1.0
755,0,0.9999999999997584
756,0,1.0
757,0,1.0
758,0,0.9999999999997726
759,0,1.0
760,0,1.0
761,0,1.0
762,0,1.0
763,0,1.0
764,0,0.9999999999636486
765,0,0.9999999528655377
766,0,0.9999999998502744
