cluster_0,cluster_1,cluster_2,cluster_3
4.470503060369467e-74,3.1460367804902075e-46,1.0,1.2055097634698048e-37
1.813920293232079e-44,3.941685725534193e-103,1.0,3.132122275806592e-78
1.4432130256051475e-43,4.688242168416669e-109,1.0,5.995961142587357e-74
9.589308808365706e-75,1.399187660235456e-104,1.0,4.18028287098325e-73
3.204725966921604e-69,4.687182748628529e-45,1.0,6.538284509426642e-38
1.860997796326473e-39,7.032341756513711e-109,1.0,6.719314237568505e-71
3.0926478788871846e-23,4.41838703824974e-81,1.0,8.691211054144056e-50
2.957077260676243e-54,1.1551135760208521e-135,1.0,6.357227794491829e-92
1.9366174609890393e-67,2.5619047352121714e-51,1.0,8.770845784139835e-43
1.0501266461728412e-27,2.1440717210385275e-58,1.0,3.464459099118327e-41
3.4061178072333888e-18,1.1300274922461326e-80,1.0,5.71822725636951e-56
2.908777620726728e-24,3.9160960349064375e-69,1.0,6.737080571129385e-49
3.4408872349114547e-40,1.0039003808212215e-50,1.0,8.33264075765264e-32
2.173684656423975e-59,4.775104134103903e-53,1.0,3.074206353912038e-54
4.2483073978279e-32,2.128174496469681e-27,1.0,2.216512487308694e-21
2.0329893956266407e-26,4.930811873244901e-81,1.0,4.885899837230599e-60
5.7877519614585154e-52,5.645850536925587e-49,1.0,8.455279506419589e-41
3.9882542934388834e-39,2.561277609110149e-50,1.0,1.456109406012865e-42
1.4591249720620026e-60,1.2493018992406945e-62,1.0,9.083860508233636e-58
3.204885240998822e-59,7.449377766318632e-75,1.0,1.7797500844301125e-51
2.2556387969085216e-53,2.3155174478079645e-53,1.0,4.03724382403605e-45
2.4600019488317286e-93,4.827103108008759e-48,1.0,1.8142166572205074e-51
1.9913403126519739e-81,2.333433876493698e-61,1.0,9.99370702898623e-48
3.8641192469696655e-41,1.8369006590261623e-82,1.0,2.9341881083019767e-61
2.245247092996338e-38,1.1697732734465873e-56,1.0,3.6605660833488556e-50
4.4064578694468405e-51,1.0359105280168693e-102,1.0,7.122484677620075e-70
2.7137526124279185e-78,2.294661997262702e-72,1.0,2.479716053701631e-52
3.789422706250585e-115,1.7251626194644767e-64,1.0,9.176919713537134e-49
3.8609255335992878e-22,2.19144884736275e-63,1.0,7.601784581032725e-43
8.903494500549396e-60,3.3360449431666295e-59,1.0,2.549828546402083e-44
1.1973748227030808e-91,1.119431406854233e-35,1.0,1.0239890071896907e-38
1.0544324393847453e-65,8.666485440263238e-24,1.0,8.658601112093067e-24
1.5730698026345904e-45,4.2084630198347594e-57,1.0,2.494484323884899e-41
1.57134624400176e-64,1.5208718288449222e-37,1.0,3.7673407687055415e-37
3.3064046599519685e-58,4.422434840661546e-62,1.0,1.0844070404582435e-51
8.30090185967558e-50,2.975618776046242e-70,1.0,4.241558787576152e-57
4.608651450062657e-61,3.316776085746541e-61,1.0,1.3564199914123375e-50
7.622943607481552e-60,6.92722394362953e-33,1.0,3.2657192261622646e-27
1.5682206276343885e-54,4.1027769198685673e-88,1.0,1.5541981200410987e-64
4.769992369286355e-66,1.4041752657292267e-48,1.0,1.0787113424296366e-30
5.889135905095484e-22,3.853996390023191e-76,1.0,1.6462244138042014e-39
7.278198676847116e-45,2.8916541834822545e-53,1.0,3.42919020439248e-41
3.017927090402053e-27,2.398040820448218e-69,1.0,3.878083174669353e-39
3.2557867807420996e-39,1.9989633631671023e-73,1.0,2.7869175800009575e-52
4.5370923566420666e-36,2.240124063507296e-58,1.0,1.944442295127318e-39
1.571956224879614e-68,4.4848412298579374e-67,1.0,4.9130094716575296e-52
8.296276061429582e-70,7.805859206492724e-58,1.0,1.1769953316333726e-50
7.2661206893200505e-59,2.7841646964575114e-54,1.0,3.826057451541119e-43
1.3869968972192916e-39,2.6261783084831844e-60,1.0,7.435977138780207e-44
7.6466918941827e-52,1.8431644671477617e-103,1.0,1.6122663545042264e-75
7.649753605185909e-45,3.336291387671045e-90,1.0,2.2652360871761333e-62
1.1818176036386038e-51,1.3275320039915932e-59,1.0,2.462108128339645e-49
7.785141917585208e-22,1.6436780518193626e-68,1.0,8.865659591338551e-41
1.4351203570766076e-33,1.0589941188644497e-73,1.0,8.119170594635825e-60
1.4513566763164567e-34,1.4777634332807454e-84,1.0,1.5248578016371916e-58
1.0006815631253394e-33,2.583882445723115e-87,1.0,7.453774459978183e-68
1.1419915047723175e-97,2.028171325161115e-28,1.0,2.6586748486508424e-38
6.368586919148296e-21,1.4870041807779755e-60,1.0,1.8218474854739727e-43
